algorithm,path_length,nodes_explored,compute_time,replan_count,predictive_replans,evade_count,found_treasure,wall_density,num_guards,repetition
DFS,460,19407,0.04939890163950622,40,40,96,False,0.35,6,15
DFS,96,2372,0.0076788009610027075,21,21,13,True,0.35,6,16
DFS,146,5304,0.015064399223774672,33,33,40,True,0.35,6,17
DFS,312,13244,0.03258090210147202,75,75,34,True,0.35,6,18
DFS,355,12193,0.03925120015628636,111,111,35,True,0.35,6,19
DFS,438,30839,0.07540449919179082,62,62,49,False,0.35,6,20
DFS,346,7598,0.017366399988532066,47,47,43,True,0.35,6,21
DFS,384,16246,0.0398335971403867,105,105,64,True,0.35,6,22
DFS,84,4291,0.011762099573388696,18,18,2,True,0.35,6,23
DFS,370,11999,0.039088099263608456,129,129,47,False,0.35,6,24
DFS,277,9950,0.031999299535527825,77,77,47,True,0.35,6,25
DFS,383,12921,0.031167799141258,115,115,83,False,0.35,6,26
DFS,164,8462,0.022372900741174817,66,66,20,True,0.35,6,27
DFS,303,22764,0.0625654999166727,76,76,48,True,0.35,6,28
DFS,195,9361,0.024250600254163146,65,65,27,True,0.35,6,29
BFS,29,262,0.0005799001082777977,0,0,0,True,0.15,0,0
BFS,29,260,0.0005324999801814556,0,0,0,True,0.15,0,1
BFS,29,261,0.0006645000539720058,0,0,0,True,0.15,0,2
BFS,29,252,0.0007229000329971313,0,0,0,True,0.15,0,3
BFS,29,252,0.0005286999512463808,0,0,0,True,0.15,0,4
BFS,29,242,0.0005036001093685627,0,0,0,True,0.15,0,5
BFS,29,255,0.0005200000014156103,0,0,0,True,0.15,0,6
BFS,29,257,0.0005385000258684158,0,0,0,True,0.15,0,7
BFS,29,248,0.0005252999253571033,0,0,0,True,0.15,0,8
BFS,29,261,0.0005437999498099089,0,0,0,True,0.15,0,9
BFS,29,250,0.0007890001870691776,0,0,0,True,0.15,0,10
BFS,29,244,0.0004904000088572502,0,0,0,True,0.15,0,11
BFS,29,250,0.0004876998718827963,0,0,0,True,0.15,0,12
BFS,31,252,0.0005197001155465841,0,0,0,True,0.15,0,13
BFS,29,245,0.0005020000971853733,0,0,0,True,0.15,0,14
BFS,29,256,0.0005278000608086586,0,0,0,True,0.15,0,15
BFS,29,242,0.0005065998993813992,0,0,0,True,0.15,0,16
BFS,29,246,0.0007659001275897026,0,0,0,True,0.15,0,17
BFS,29,256,0.0005228999070823193,0,0,0,True,0.15,0,18
BFS,29,250,0.0004957998171448708,0,0,0,True,0.15,0,19
BFS,29,252,0.000721300020813942,0,0,0,True,0.15,0,20
BFS,29,250,0.0009031998924911022,0,0,0,True,0.15,0,21
BFS,29,263,0.0007055001333355904,0,0,0,True,0.15,0,22
BFS,29,246,0.0005538999103009701,0,0,0,True,0.15,0,23
BFS,29,250,0.0009659999050199986,0,0,0,True,0.15,0,24
BFS,29,256,0.0006538999732583761,0,0,0,True,0.15,0,25
BFS,29,249,0.0008753999136388302,0,0,0,True,0.15,0,26
BFS,29,249,0.0008831999730318785,0,0,0,True,0.15,0,27
BFS,29,255,0.0005266999360173941,0,0,0,True,0.15,0,28
BFS,29,241,0.0004911997821182013,0,0,0,True,0.15,0,29
BFS,47,1150,0.0043214005418121815,4,4,0,True,0.15,2,0
BFS,33,1609,0.003639899892732501,5,5,0,True,0.15,2,1
BFS,47,3234,0.007802300155162811,13,13,0,True,0.15,2,2
BFS,36,802,0.0029390996787697077,3,3,7,True,0.15,2,3
BFS,29,967,0.0033652998972684145,3,3,0,True,0.15,2,4
BFS,41,1784,0.004083899548277259,8,8,4,True,0.15,2,5
BFS,32,803,0.003050900297239423,3,3,1,True,0.15,2,6
BFS,35,2096,0.00493609975092113,12,12,0,True,0.15,2,7
BFS,39,1896,0.0042565998155623674,8,8,0,True,0.15,2,8
BFS,29,621,0.0018724000547081232,2,2,0,True,0.15,2,9
BFS,29,263,0.0010170000605285168,0,0,0,True,0.15,2,10
